units,dropout,batch_size,loss
32,0.1,16,0.0011207013158127666
32,0.1,32,0.0016707185423001647
32,0.1,64,0.0015461179427802563
32,0.2,16,0.001988793723285198
32,0.2,32,0.001223754952661693
32,0.2,64,0.0016489929985255003
32,0.3,16,0.0010433689458295703
32,0.3,32,0.001785233966074884
32,0.3,64,0.0014328346587717533
50,0.1,16,0.0016744978493079543
50,0.1,32,0.0013559283688664436
50,0.1,64,0.0014132431242614985
50,0.2,16,0.0015325212152674794
50,0.2,32,0.0011103383731096983
50,0.2,64,0.0016985025722533464
50,0.3,16,0.0043289014138281345
50,0.3,32,0.0013381836470216513
50,0.3,64,0.0017577986000105739
64,0.1,16,0.0009562695631757379
64,0.1,32,0.0012062458554282784
64,0.1,64,0.0013892983552068472
64,0.2,16,0.001358411624096334
64,0.2,32,0.0015862638829275966
64,0.2,64,0.0013547535054385662
64,0.3,16,0.0012138900347054005
64,0.3,32,0.0014159488491714
64,0.3,64,0.001771818962879479
