model_type,units,dropout,num_layers,bidirectional,batch_size,optimizer,learning_rate,prediction_days,future_day,scaler_type,loss,mse,mae,r2,score_final
LSTM,32,0.0,1,True,16,adam,0.01,15,1,MinMax,1.0010616779327393,0.0028290226118230176,0.03055225381927879,-0.004112207485526653,26.112101910967407
LSTM,32,0.0,1,True,16,adam,0.01,15,1,Standard,0.9160194396972656,3.816067160724306,0.12624473709760084,0.09650062901264933,121.68415828072615
LSTM,32,0.0,1,True,16,rmsprop,0.01,15,1,MinMax,1.0019183158874512,0.0028174376148875423,0.030154396499546734,-3.149902250143555e-07,26.122253828794694
LSTM,32,0.0,1,True,16,rmsprop,0.01,15,1,Standard,1.0013386011123657,4.223722643437029,0.11487489991238835,-1.6663974558683847e-05,133.7484077775382
LSTM,32,0.0,1,True,16,nadam,0.01,15,1,MinMax,0.9987519979476929,0.002810304892499373,0.03014588410512992,0.0025313203500633152,26.04207184354554
LSTM,32,0.0,1,True,16,nadam,0.01,15,1,Standard,1.0012905597686768,4.224101467866336,0.0970107717145026,-0.0001063551721127709,133.31009657253094
LSTM,64,0.0,1,True,16,adam,0.01,15,1,MinMax,1.001805305480957,0.002819741875873078,0.03028135431767138,-0.0008181722159465998,26.122864584916524
LSTM,64,0.0,1,True,16,adam,0.01,15,1,Standard,1.0013216733932495,4.226704499073194,0.11152099059012661,-0.000722653826985109,133.73885973987097
LSTM,64,0.0,1,True,16,rmsprop,0.01,15,1,MinMax,1.0006521940231323,0.002818040156449237,0.030124520017378878,-0.00021417660274325456,26.0899223990747
LSTM,64,0.0,1,True,16,rmsprop,0.01,15,1,Standard,1.0007458925247192,4.25061601264978,0.2526765572372376,-0.006383989585997174,137.85255755768992
LSTM,64,0.0,1,True,16,nadam,0.01,15,1,MinMax,1.001273512840271,0.00281790335284946,0.03019834828282048,-0.00016562055232860473,26.107285517036605
LSTM,64,0.0,1,True,16,nadam,0.01,15,1,Standard,1.0013331174850464,4.224583272614335,0.0971176556365077,-0.00022042818718870372,133.325906250444
